"patRIL","matRIL","sex","id"
22056,11056,"F",22056
22057,11057,"F",22057
22058,11058,"F",22058
22059,11059,"F",22059
22060,11060,"F",22060
22061,11061,"F",22061
22062,11062,"F",22062
22064,11064,"F",22064
22065,11065,"F",22065
22066,11066,"F",22066
22067,11067,"F",22067
22068,11068,"F",22068
22069,11069,"F",22069
22071,11071,"F",22071
22072,11072,"F",22072
22073,11073,"F",22073
22075,11075,"F",22075
22076,11076,"F",22076
22077,11077,"F",22077
22078,11078,"F",22078
22079,11079,"F",22079
22080,11080,"F",22080
22081,11081,"F",22081
22082,11082,"F",22082
22083,11083,"F",22083
22084,11084,"F",22084
22086,11086,"F",22086
22087,11087,"F",22087
22088,11088,"F",22088
22089,11089,"F",22089
22090,11090,"F",22090
22091,11091,"F",22091
22092,11092,"F",22092
22094,11094,"F",22094
22096,11096,"F",22096
22097,11097,"F",22097
22098,11098,"F",22098
22099,11099,"F",22099
22100,11100,"F",22100
22101,11101,"F",22101
22102,11102,"F",22102
22103,11103,"F",22103
22104,11104,"F",22104
22105,11105,"F",22105
22106,11106,"F",22106
22107,11107,"F",22107
22109,11109,"F",22109
22110,11110,"F",22110
22111,11111,"F",22111
22112,11112,"F",22112
22113,11113,"F",22113
22114,11114,"F",22114
22115,11115,"F",22115
22116,11116,"F",22116
22117,11117,"F",22117
22118,11118,"F",22118
22119,11119,"F",22119
22120,11120,"F",22120
22123,11123,"F",22123
22124,11124,"F",22124
22126,11126,"F",22126
22127,11127,"F",22127
22128,11128,"F",22128
22129,11129,"F",22129
22130,11130,"F",22130
22132,11132,"F",22132
22133,11133,"F",22133
22134,11134,"F",22134
22135,11135,"F",22135
22136,11136,"F",22136
22137,11137,"F",22137
22138,11138,"F",22138
22140,11140,"F",22140
22141,11141,"F",22141
22142,11142,"F",22142
22143,11143,"F",22143
22144,11144,"F",22144
22145,11145,"F",22145
22146,11146,"F",22146
22147,11147,"F",22147
22148,11148,"F",22148
22149,11149,"F",22149
22150,11150,"F",22150
22151,11151,"F",22151
22152,11152,"F",22152
22153,11153,"F",22153
22154,11154,"F",22154
22155,11155,"F",22155
22156,11156,"F",22156
22157,11157,"F",22157
22158,11158,"F",22158
22159,11159,"F",22159
22160,11160,"F",22160
22161,11161,"F",22161
22162,11162,"F",22162
22163,11163,"F",22163
22164,11164,"F",22164
22166,11166,"F",22166
22167,11167,"F",22167
22168,11168,"F",22168
22169,11169,"F",22169
22170,11170,"F",22170
22171,11171,"F",22171
22172,11172,"F",22172
22174,11174,"F",22174
22175,11175,"F",22175
22176,11176,"F",22176
22178,11178,"F",22178
22179,11179,"F",22179
22180,11180,"F",22180
22181,11181,"F",22181
22182,11182,"F",22182
22184,11184,"F",22184
22185,11185,"F",22185
22186,11186,"F",22186
22187,11187,"F",22187
22189,11189,"F",22189
22190,11190,"F",22190
22191,11191,"F",22191
22192,11192,"F",22192
22193,11193,"F",22193
22194,11194,"F",22194
22195,11195,"F",22195
22196,11196,"F",22196
22197,11197,"F",22197
22198,11198,"F",22198
