"","x"
"CG17210",0.120457694030175
"CG5094",1.34716037559666e-08
"CG15556",0.331764883050897
"CG7059",0.442408691285851
"CG9773",1.07024636572893e-08
"CG31118",1.21806784067832e-08
"CG14948",0.184044128605519
"CG1597",0.494462239939177
"CG1554",0.1888433644534
"CG2260",0.10276248926067
"CG5585",0.2693684280035
"CG33931",1.07765907810292e-08
"CG5701",0.16469877743455
"CG5016",0.342842698530009
"CG4299",0.218697718034599
"CG5823",0.257727621099344
"CG33519",0.591995516075639
"CG14334",0.109306695641819
"CG32743",1.09460915639187e-08
"CG17178",1.10431563608133e-08
"CG31637",0.514115139356854
"CG34392",0.398775938817953
"CG2258",0.345276620257765
"CG32581",0.64367594996499
"CG30011",0.666865702840864
"CG30429",0.169713923203513
"CG30152",1.06829037199907e-08
"CG42322-PL",1.09509387775002e-08
"CG42322-PM",1.09509387775002e-08
"CG42322-PD",1.09509387775002e-08
"CG42322-PI",0.544584701082917
"CG42322-PJ",0.544584701082917
"CG9977",0.719639235597015
"CG17248",1.41480851173881e-08
"CG7788",0.318176518392021
"CG1970",0.139778232557493
"CG7917",0.325959583314075
"CG4789",0.109990139227907
"CG1913",0.322939825833687
"CG3653",0.340111389975783
"CG13760",1.20566048169747e-08
"CG4001",0.61327672844309
"CG8739",0.459692613844745
"CG15009",0.509977405470687
"CG9312",0.787941935313145
"CG9796",0.438206075432209
"CG31676",0.701270090142358
"CG13876",0.540006719059787
"CG8900",1.43350822871658e-08
"CG14901",1.66774965073417e-08
"CG12864",0.133058450293616
"CG12438",0.183592928578843
"CG34255",1.06121955744693e-08
"CG10339",0.553988673088204
"CG10776",0.574476100543222
"CG5798",0.303288464776671
"CG10424",0.765194062139786
"CG32148",0.316285400816588
"CG9361",0.210444082180461
"CG12643",0.241601760691901
"CG32183",0.453425191244014
"CG1783-PA",1.01987558470215e-08
"CG1783-PB",1.02082920768471e-08
"CG1783-PC",1.07544902260471e-08
"CG4071",0.302742809837824
"CG5642",0.212503877700853
"CG6335",0.309558770559843
"CG5023",0.342231533489593
"CG4565",0.314232497227006
"CG13389",0.247121720873411
"CG4786",0.175027573642414
"CG10513",0.520897028685014
"CG18028",0.0974007351689696
